slno,order_receipt_date,so_delivery_date,mktg_specialistsmanagers,type_of_order,product_,qty,opp_id,ion_number,work_order_number,ion_meeting__date_planned,ion_meeting__date_actual,ion_meeting_delay_days,bom_updated_along_with_drawings_planned_,bom_updated_along_with_drawings_actual,bom_delay_days,wo_release_date_planned,wo_release_date_actual,wo_release_delay_days,mrf_raised_planned,mrf_raised_actual,mrf_raised_delay_days,indent_raised_planned,indent_raised_actual,indent_raised_delay_days,purchase_end_date_planned,purchase_end_date_actual,purchase_delay_days,production_planned_date_planned,production_planned_date_actual,production_planned_delay_days,qa_clearance__planned,qa_clearance__actual,qa_clearance_delay_days,product_dispatch_date_planned,product_dispatch_date_actual,product_dispatch_delay_days,pdi_date_at_factory_planned,pdi_date_at_factory_actual,delivery_date_planned,delivery_date_actual,onsite_pdi_date_planned,onsite_pdi_date_actual,installation_date_planned,installation_date_actual,payment_received_planned,payment_received_actual,status,year,source_filename,rowuniqueid
1,03/28/2022,NULL,Baljeet,Sale/D,ShootEdge,100,3913,ION 2223 001,WO/2022-2023/008,03/29/2022,03/29/2022,0.0,31-03-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,04/05/2022,4.0,01-04-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/15/2022,195.0,02-04-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,04/08/2022,5.0,04-04-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,04/08/2022,4.0,19-05-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/30/2022,193.0,04/29/2022,10/20/2022,149.0,10/22/2022,10/23/2022,0.0,23-10-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,10/23/2022,-1.0,NULL,NULL,27.06.2022,23.10.2022,N/A,N/A,N/A,N/A,12/15/2022,01/05/2023,Dispatched,2022-2023,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,122
2,08/03/2022,NULL,Ranjit,Sale/D,TacSim - 100 Harness Set,1,2154,ION 2223 007,WO/2022-2023/106,08/04/2022,08/04/2022,0.0,06-08-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/11/2022,83.0,07-08-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/15/2022,85.0,08-08-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,08/23/2022,13.0,08/10/2022,08/23/2022,11.0,24-09-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,01/04/2023,87.0,09/13/2022,12/14/2022,79.0,12/16/2022,12/17/2022,1.0,17-12-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/18/2022,0.0,NULL,NULL,15.12.2022,17.12.2022, 18-12-2022,12/19/2022,12/27/2022,01/10/2023,02/01/2023,01/06/2023,Dispatched,2022-2023,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,123
3,09/16/2022,NULL,Jigyasu,Sale/E,Awesim (WIRELESS) - 4 Lane (Bhutan),1,4717, ION 2223 008,WO/2022-2023/110,09/17/2022,09/17/2022,0.0,19-09-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/11/2022,46.0,20-09-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/15/2022,48.0,21-09-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,10/06/2022,13.0,09/22/2022,10/06/2022,12.0,06-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,01/10/2023,55.0,10/27/2022,09/24/2022,-30.0,09/26/2022,09/27/2022,1.0,27-09-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,09/28/2022,1.0,NULL,NULL,04.10.2022,29.09.2022,09/30/2022,31-09-2022,10/04/2022,10/11/2022,12/27/2022,01/25/2023,Dispatched,2022-2023,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,124
5,11/24/2022,01/23/2023,BalaKrishna,Sale/D,AweSim 4 Lane (CofMow),1,4176,ION 2223 020,WO/2022-2023/119,11/04/2022,11/04/2022,0.0,06-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/11/2022,4.0,07-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/15/2022,7.0,08-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/22/2022,12.0,11/10/2022,11/22/2022,10.0,25-12-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,01/28/2023,29.0,02/13/2023,02/02/2023,-11.0,02/03/2023,02/17/2023,12.0,04-02-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,04/12/2023,57.0,NULL,NULL,23 Mar'23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dispatched,2023-2024,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,125
4,10/31/2022,02/28/2023,Baljeet,Sale/D,ShootEdge,9,4239,  ION 2223 009 ,WO/2022-2023/126,11/01/2022,11/01/2022,0.0,03-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/05/2022,27.0,04-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/05/2022,26.0,05-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/13/2022,32.0,11/07/2022,12/13/2022,31.0,01/13/2023,02/20/2023,32.0,02/28/2023,03/12/2023,10.0,03/13/2023,03/13/2023,0.0,14-03-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,03/13/2023,-3.0,NA,NA,     28 Feb'23,     28 Feb'23,NA,NA,NA,NA,14 Apr'23,31 Mar'23,Dispatched,2022-2023,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,126
9,11/24/2022,04/21/2023,Apoorva,Sale/E,ShootEdge (Dubai),5,4902,ION�2223�011�,WO/2022-2023/129,11/24/2022,11/24/2022,0.0,26-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/07/2022,9.0,27-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/20/2022,19.0,28-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/22/2022,21.0,11/30/2022,12/22/2022,19.0,01/22/2023,03/24/2023,52.0,03/26/2023,03/27/2023,0.0,03/27/2023,03/28/2023,1.0,28-03-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,03/29/2023,1.0,NULL,NULL,04/21/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dispatched,2022-2023,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,127
6,11/11/2022,06/08/2023,Apoorva,Sale/E,AWeSim 6 lane (Mauritius),1,4725,N/A,WO/2022-2023/131,11/11/2022,11/11/2022,0.0,13-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/07/2022,20.0,14-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/09/2022,22.0,15-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/15/2022,26.0,11/17/2022,12/15/2022,24.0,01/15/2023,02/03/2023,16.0,01/19/2023,01/30/2023,9.0,02/01/2023,02/11/2023,9.0,02-02-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,02/16/2023,12.0,NULL,NULL,08 Jun'23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dispatched,2022-2023,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,128
7,11/11/2022,06/08/2023,Apoorva,Sale/E,CTSR (Mauritius),1,4725,N/A,WO/2022-2023/131,11/11/2022,11/11/2022,0.0,13-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/07/2022,20.0,14-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/09/2022,22.0,15-11-2022_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/15/2022,26.0,11/17/2022,12/15/2022,24.0,01/19/2023,02/03/2023,13.0,03/10/2023,NULL,NULL,03/12/2023,07/12/2023,104.0,13-03-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,07/13/2023,105.0,NULL,NULL,08 Jun'23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dispatched,2023-2024,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,129
8,01/07/2023,03/07/2023,BalaKrishna,Sale/D,CTSR (Odissa),1,3492,ION�2223�021�,WO/2022-2023/132,01/09/2023,01/12/2023,3.0,11-01-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/12/2022,-28.0,12-01-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,11/15/2022,-52.0,13-01-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/19/2022,-24.0,01/16/2023,12/19/2022,-26.0,02/20/2023,03/05/2023,11.0,02/28/2023,03/07/2023,6.0,03/08/2023,03/14/2023,5.0,09-03-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,03/15/2023,5.0,NULL,NULL,07 Mar'23,17 Mar'23,NULL,NULL,17 Mar'23,NULL,02 May'23,01 Apr'23,Dispatched,2022-2023,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,130
11,03/01/2023,05/31/2023,Ranjith,V,CTSR,2,3456,ION�2223�P014,WO/2022-2023/133,03/02/2023,03/02/2023,0.0,04-03-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/12/2022,-73.0,05-03-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/14/2022,-71.0,06-03-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,12/16/2022,-70.0,03/09/2023,12/19/2022,-71.0,06/30/2023,07/27/2023,23.0,07/27/2023,08/23/2023,23.0,07/29/2023,08/25/2023,23.0,30-07-2023_DATE_VALUE_AS_DOUBLE_VALUE_FOR_XLSX,08/26/2023,23.0,08/22/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dispatched,2023-2024,Order to Dispatch_Final - 31 Dec-24_normalized1.xlsx,131
